   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
Microsoft Visual C++ 2012 Redistri... Microsoft.VC++2012Redist-x86        11.0.61030
Microsoft Visual C++ 2013 Redistri... Microsoft.VC++2013Redist-x64        12.0.40649
Microsoft Visual C++ 2013 Redistri... Microsoft.VC++2013Redist-x86        12.0.40649
Microsoft Visual C++ 2015-2019 Red... Microsoft.VC++2015-2019Redist-x64   14.26.28720.3
Microsoft Visual C++ 2015-2019 Red... Microsoft.VC++2015-2019Redist-x86   14.26.28720.3
Microsoft Visual C++ 2015 Redistri... Microsoft.VC++2015Redist-x64        14.0.24215.1
Microsoft Visual C++ 2015 Redistri... Microsoft.VC++2015Redist-x86        14.0.24215.1
Microsoft Visual C++ 2017 Redistri... Microsoft.VC++2017Redist-x64        14.16.27027.1
Microsoft Visual C++ 2017 Redistri... Microsoft.VC++2017Redist-x86        14.16.27027.1
Visio Viewer                          Microsoft.VisioViewer               16.0.433.1001
Visual Studio Build Tools             Microsoft.VisualStudio.BuildTools   16.6.30128.74
Visual Studio Community               Microsoft.VisualStudio.Community    16.0.30104.148
Visual Studio Enterprise              Microsoft.VisualStudio.Enterprise   16.6.30128.74
Visual Studio Professional            Microsoft.VisualStudio.Professional 16.0.30104.148
Visual Studio Code                    Microsoft.VisualStudioCode          1.46.1.cd9ea6...
Visual Studio Code - Insiders         Microsoft.VisualStudioCodeInsiders  1.47.6.042034...
Windows Admin Center                  Microsoft.WindowsAdminCenter        1.2.19809.0
Windows SDK                           Microsoft.WindowsSDK                10.0.19041.0
Windows Terminal                      Microsoft.WindowsTerminal           1.0.1401.0
Windows Terminal Preview              Microsoft.WindowsTerminalPreview    1.1.1671.0
XML Notepad                           Microsoft.XMLNotepad                2.8.0.12
.Net Framework                        Microsoft.dotNetFramework           4.8
.NET Core                             Microsoft.dotnet                    3.1.301
